,load,type,compressor,p_value,normal
0,CANCER-PHON,ANOTHER-CONTROL,ZLIB,6.861743742676327e-06,False
1,CANCER-PHON,ANOTHER-CONTROL,GZIP,8.728263090932023e-07,False
2,CANCER-PHON,ANOTHER-CONTROL,BZ2,2.7183121508537267e-06,False
3,CANCER-PHON,ANOTHER-CONTROL,PPMD,2.1678486217537178e-05,False
4,CANCER-PHON,ANOTHER-CONTROL,WEBP,1.638918488485107e-07,False
5,CANCER-PHON,ANOTHER-CONTROL,JP2,0.017360341577940416,False
6,CANCER-PHON,ANOTHER-CONTROL,HEIF,0.00045713813670220327,False
7,CANCER-PHON,API,ZLIB,4.7047926621544924e-08,False
8,CANCER-PHON,API,GZIP,6.844285790648705e-08,False
9,CANCER-PHON,API,BZ2,3.569104528211787e-07,False
10,CANCER-PHON,API,PPMD,1.9370366412963203e-10,False
11,CANCER-PHON,API,WEBP,4.919337255732312e-09,False
12,CANCER-PHON,API,JP2,0.002733334175916908,False
13,CANCER-PHON,API,HEIF,0.0012405969328753974,False
14,CANCER-PHON,CONC,ZLIB,2.9683342150440764e-11,False
15,CANCER-PHON,CONC,GZIP,1.0659869912274106e-10,False
16,CANCER-PHON,CONC,BZ2,6.429293570754658e-11,False
17,CANCER-PHON,CONC,PPMD,3.642961496043993e-08,False
18,CANCER-PHON,CONC,WEBP,2.6071613562181644e-05,False
19,CANCER-PHON,CONC,JP2,4.420481995560313e-08,False
20,CANCER-PHON,CONC,HEIF,0.1450736547410426,True
21,CANCER-PHON,LOGIC,ZLIB,3.197445125440355e-08,False
22,CANCER-PHON,LOGIC,GZIP,2.8693975994206764e-10,False
23,CANCER-PHON,LOGIC,BZ2,4.10692921257152e-11,False
24,CANCER-PHON,LOGIC,PPMD,1.617410236124135e-09,False
25,CANCER-PHON,LOGIC,WEBP,2.8853496603434244e-05,False
26,CANCER-PHON,LOGIC,JP2,5.671972559371718e-05,False
27,CANCER-PHON,LOGIC,HEIF,0.0015523821616845255,False
28,CANCER-PHON,MEMORY,ZLIB,3.122849405823246e-09,False
29,CANCER-PHON,MEMORY,GZIP,1.2168516239793546e-05,False
30,CANCER-PHON,MEMORY,BZ2,3.52222167076804e-07,False
31,CANCER-PHON,MEMORY,PPMD,4.230086157536025e-09,False
32,CANCER-PHON,MEMORY,WEBP,4.995762718400325e-07,False
33,CANCER-PHON,MEMORY,JP2,1.2203166320546183e-06,False
34,CANCER-PHON,MEMORY,HEIF,0.2457730326349405,True
35,CANCER-PHON,MODEL,ZLIB,3.691302458955632e-08,False
36,CANCER-PHON,MODEL,GZIP,2.800564840469856e-07,False
37,CANCER-PHON,MODEL,BZ2,7.071813752255807e-10,False
38,CANCER-PHON,MODEL,PPMD,1.7005881611038813e-08,False
39,CANCER-PHON,MODEL,WEBP,1.143853945254988e-07,False
40,CANCER-PHON,MODEL,JP2,4.2512909677532605e-07,False
41,CANCER-PHON,MODEL,HEIF,8.385055341409621e-07,False
42,CANCER-PHON,MY-CONTROL,ZLIB,1.003896156625783e-06,False
43,CANCER-PHON,MY-CONTROL,GZIP,6.0579921848014526e-05,False
44,CANCER-PHON,MY-CONTROL,BZ2,6.558707134345646e-06,False
45,CANCER-PHON,MY-CONTROL,PPMD,1.0842265014157867e-06,False
46,CANCER-PHON,MY-CONTROL,WEBP,1.5782249599329464e-07,False
47,CANCER-PHON,MY-CONTROL,JP2,2.7931083252380952e-09,False
48,CANCER-PHON,MY-CONTROL,HEIF,0.0004566830528812287,False
49,CANCER-PHON,PROCESS,ZLIB,2.3358574703353394e-05,False
50,CANCER-PHON,PROCESS,GZIP,1.9334098650041707e-11,False
51,CANCER-PHON,PROCESS,BZ2,0.05713718371720722,True
52,CANCER-PHON,PROCESS,PPMD,2.0910358940573832e-11,False
53,CANCER-PHON,PROCESS,WEBP,3.901947166604743e-08,False
54,CANCER-PHON,PROCESS,JP2,1.333707256864016e-07,False
55,CANCER-PHON,PROCESS,HEIF,9.611068419598295e-06,False
56,CANCER-PHON,TRAIN,ZLIB,2.0788510241350425e-09,False
57,CANCER-PHON,TRAIN,GZIP,5.487563053893593e-08,False
58,CANCER-PHON,TRAIN,BZ2,1.6916426004382813e-10,False
59,CANCER-PHON,TRAIN,PPMD,4.48397897506841e-10,False
60,CANCER-PHON,TRAIN,WEBP,0.0008113264560476379,False
61,CANCER-PHON,TRAIN,JP2,1.2910282362169384e-06,False
62,CANCER-PHON,TRAIN,HEIF,0.6299420401086426,True
